"Add Template","新建模板"
"Add New Template","新建模板"
"An error detected while email transporting.","邮件传输失败。"
"An error detected while scheduling. Please check the log report or try again.","加入计划失败。请查看错误日志或重试。"
"Auth Mode","认证方式"
"E-mail","电子邮箱"
"E-Mail","电子邮箱"
"EMail","电子邮箱"
"Edit Template","编辑模板"
"Email","电子邮箱"
"Email Configuration","邮件配置"
"Email Queue","邮件队列"
"Encryption","加密方式"
"Host","服务器"
"Mail From","发件人"
"Newsletter","新闻订阅"
"Newsletter Subscriber","新闻订阅者"
"Newsletter Subscribers","新闻订阅者"
"Pending","等待发送"
"Port","端口"
"Queue","队列"
"Rcpt To","收件人"
"Schedule","计划"
"Scheduled successfully.","加入计划成功"
"Scheduled time","计划时间"
"Send","发送"
"Send Email","发送邮件"
"Sender Email","发件地址"
"Service","服务"
"Subscribe failed. Please try again later.","订阅失败，请稍后再试。"
"Subscriber","订阅者"
"Success","发送成功"
"Thank you for your subscription.","感谢您的订阅。"
"Transport","传输"
