"""%s"" has been added to your shopping cart.","""%s""已成功加入购物车"
"""%s"" has been moved to your wishlist.","""%s""已成功移入收藏夹"
"""%s"" has been removed from your shopping cart.","""%s""已成功从购物车移出"
"%d item(s)","共%d件商品"
"%d item(s) has been removed from your shopping cart.","%d件产品已成功从购物车移出"
"%s item(s) in cart","购物车共有%s件商品"
"Add New Address","新增收货地址"
"All items have been removed from your shopping cart.","所有产品都已成功从购物车移出"
"Allow Guest Checkout","允许游客结算"
"Billing Address","账单地址"
"Continue Shopping","继续购物"
"Checkout","结算"
"Checkout Configuration","结算设置"
"Comment","备注"
"Complate","交易成功"
"Default Address","默认地址"
"Delete Selected Item(s)","删除选中商品"
"Enable Terms and Conditions","启用服务条款"
"Item(s) Selected","件商品已选中"
"Message","留言"
"Minimum Amount","最小购买量"
"Move to Wishlist","移入收藏夹"
"My Wishlist","我的收藏"
"Order Confirmation","确认订单"
"Order ID","订单号"
"Order Infomation","确认订单信息"
"Place Order","提交订单"
"Please comfirm the order information","请确认订单信息"
"Price","单价"
"Product Information","商品信息"
"Qty","数量"
"Recently Viewed","最近浏览"
"Select All","全选"
"Shipping","运费"
"Shipping Address","收货信息"
"Shipping Method","配送方式"
"Shopping Cart","购物车"
"Shopping Cart Is Empty","购物车是空的"
"Subtotal","小计"
"The %%s field is required and cannot be empty.","%%s不可为空。"
"The allowed minimal amount is %s, current is %s.","最小购买量为%s, 当前为%s。"
"The requested quantity for ""%s"" is not available.","""%s""库存不足"
"Total","合计"
"View Cart","查看购物车"
"View Order","查看订单详情"
"We are appreciated that you can choose our products.","感谢您选择我们的产品。"
"You May Like","猜你喜欢"
"You have no items in your shopping cart.","购物车中还没有商品"
"You have no items in your shopping cart.<br />Click <a href=""%s"">here</a> to continue shopping.","购物车中还没有商品。<br />单击 <a href=""%s"">这里</a> 继续购物。"
"Your order has been received.","我们已经收到您的订单。"
